レースコード,レース場,レース回,風向,風速,波の高さ,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240111ASY01,20,0,3,2.0,2.0,1,1,1.6467673526854425,0.9528600972371484,1.0275699996791354,-1.2004231270817696,-1.4954373439032462
20240111ASY02,20,1,3,2.0,2.0,0,0,1.4070736989597663,0.4448477980811494,-1.0793093689494948,-0.6228900746459752,-0.8141911742155205
20240111ASY03,20,2,3,2.0,2.0,0,1,1.0306518742717976,0.3373878625731043,-0.492921198213256,0.5181517227090451,-1.129794249107879
20240111ASY04,20,3,3,2.0,2.0,0,1,1.326512599637318,1.1495467655779223,0.7904534273070064,0.7991516891518754,-0.3726779962499582
20240111ASY05,20,4,3,1.0,1.0,1,1,0.1341050860352828,0.0868504768798806,0.0719368430054231,0.9729397343008132,-1.490711984999857
20240111ASY06,20,5,3,2.0,2.0,2,0,-1.2446276832926026,-1.1476237890786063,-0.4593370196859148,-0.4870630982840892,1.4467284665112472
20240111ASY07,20,6,3,2.0,2.0,2,1,0.8254189844682499,0.8913676973799137,0.1491179718284509,-0.9785400952315582,-1.2257657049686073
20240111ASY08,20,7,3,1.0,1.0,2,1,-0.827200188961651,-0.2448619726698674,0.3360292812691435,0.16680960169387,-0.1040312973220576
20240111ASY09,20,8,3,1.0,1.0,0,0,0.8303204876526394,1.37518133373508,0.8585424582996719,1.0328602009574273,-0.7886003723456589
20240111ASY10,20,9,8,3.0,3.0,1,1,-0.4403678822125429,-0.5339495718067512,0.572116069738011,1.0215367652385818,-0.7195730869230712
20240111ASY11,20,10,8,4.0,4.0,0,1,0.6535428185722312,0.4885018323072387,-0.2059970630367233,0.5044677755672847,-0.7975790340283688
20240111ASY12,20,11,5,3.0,3.0,0,1,-0.1745920360047503,1.6393622184506462,1.0860793068440626,-0.9560910975969436,-1.0734582431007855
20240111WKM01,21,0,8,5.0,5.0,2,0,0.1000834792821296,-0.8793858399414588,1.2015681905982716,-0.822841372440196,0.3176426624157142
20240111WKM02,21,1,8,5.0,5.0,2,1,-0.5546231090850606,0.1347110874636065,-0.9734459374676332,-0.696249885576998,-1.5324767040594467
20240111WKM03,21,2,8,5.0,5.0,2,0,-0.4935812609445801,-0.4658877741461317,0.2794381151318158,-0.4420337159013689,0.4517539514526169
20240111WKM04,21,3,8,5.0,5.0,2,0,-0.9827877439088124,-0.6989066387045013,-1.140507739363299,-1.1505033002131395,0.4475717962746472
20240111WKM05,21,4,8,5.0,5.0,0,1,1.1162869560838455,1.0407474907650196,0.015131396170346,-0.9195728165154664,0.0
20240111WKM06,21,5,8,4.0,4.0,1,1,0.4063741825116762,-0.0007236140831167,1.1114346837397633,0.0607923538950353,-0.3821624130728008
20240111WKM07,21,6,8,5.0,5.0,1,1,0.4913360767151752,0.8532298855971217,-1.3883023521718674,0.0238700857200244,-0.553610238205549
20240111WKM08,21,7,8,5.0,5.0,0,1,1.800190014392479,1.4647240781608473,-0.0407877829220383,-0.6776138177165999,-1.2172164427119512
