レース場,レース回,風向,風速,波の高さ,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
5,3,2,5.0,3.0,0,1,0.93927286749492,1.3202398746684878,0.2693143303722889,0.0938359395453789,-0.4896182465934701
5,4,1,3.0,3.0,2,0,-1.1112070344658236,-1.046975890067586,-1.4147701393687435,1.3206525649661924,1.0564428184106431
5,5,1,4.0,3.0,1,0,0.4664400499702309,-0.2031061979426254,-0.1197993389386856,-1.0732233505282924,1.3537246975758508
5,6,0,5.0,5.0,0,1,1.320587058067715,1.131780702887223,1.0709205202689611,0.0831095839785791,-1.1296201426438104
5,7,2,3.0,3.0,0,1,1.705017411542897,1.7969377856096094,1.281502759315468,0.2625928670705783,0.5433053679944478
5,8,0,6.0,5.0,0,1,0.4281682448193324,0.1247916947931344,1.7774878894294668,-0.0740660465857172,-0.4181666987914489
5,9,1,4.0,3.0,0,0,0.4814486652638102,0.2085114232217819,0.5104906335064271,1.1606095419079672,-0.1211787432350988
5,10,1,6.0,5.0,0,1,-0.4750071251603163,0.9866572504680068,1.035445778736277,0.3055520177721588,-1.686704154873666
5,11,1,5.0,5.0,0,0,-0.4033869335716524,-0.2031417613815345,-0.421903527549741,-1.8202157949526847,1.1296201426438306
3,0,2,5.0,5.0,3,0,-1.900346664132428,-1.6036965800992533,-1.4615977992082705,0.5492994988356352,0.2932942300427144
3,1,1,4.0,4.0,2,1,0.0801949046437525,-0.2893099696668417,1.4918365701984453,-1.1434179751467544,1.0236964359734928
3,2,1,3.0,3.0,3,0,-1.6769820073707644,-1.824760308298237,1.1953810452908202,0.7828228736081284,-0.6982651961616754
3,3,1,3.0,3.0,1,0,0.3796255442896506,0.046698594513939,0.3634119929881577,0.3590696742274642,0.0
3,4,0,4.0,4.0,1,0,0.2708585325434893,0.8850775583856862,1.106681994674222,0.6042920511663353,-1.3975424859373446
3,5,0,4.0,4.0,3,0,-1.8018273211924916,-1.6685576903183903,-1.0503512782478257,0.5876603476667706,1.8156027930441292
