レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240608AMG01,10,0,3,1.0,0.0,49.1,2,1,-0.094984293262929,0.4286246518793215,0.5031171898787408,-0.8223312161702095,1.7202558830099388
20240608AMG02,10,1,5,5.0,3.0,49.1,2,0,-0.678749244055847,-0.6215961304978008,-1.2989830046496929,0.2139563310354882,-0.3086066999241451
20240608AMG03,10,2,2,5.0,3.0,49.1,1,1,0.4583083552962772,0.6065325717433677,-0.8962015954787701,-0.5577045041361002,-1.1098166644564802
20240608AMG04,10,3,7,0.0,0.0,49.1,1,1,-0.0827672585293341,-1.902935967204185,0.6680376929147284,1.807628048450755,-0.0858756733216478
20240608AMG05,10,4,1,5.0,3.0,49.1,0,1,1.1507620462726822,1.5890147421722256,1.8028878143520024,-0.0107596254980145,-0.2599376224550152
20240608AMG06,10,5,2,7.0,5.0,49.1,2,0,-0.252258296056726,-1.0853988970993271,-0.7148095242744359,1.5030657021639249,-0.070014004201393
20240608AMG07,10,6,1,5.0,3.0,49.1,0,1,1.030049171850829,0.3677182466534513,1.4921888654190902,0.5129060536355333,0.0870388279778392
20240608AMG08,10,7,1,6.0,4.0,49.1,1,0,-0.3032119139451327,0.3360620734148939,0.3235902221107946,-0.4757332244596344,-0.0650393607234535
20240608AMG09,10,8,2,8.0,6.0,49.1,2,0,0.0137360239986244,0.7608621032980059,-1.3273351362855006,1.8417634291918623,1.6881767348293208
20240608AMG10,10,9,2,8.0,6.0,49.1,2,1,-0.1932739308609282,-0.4079376529066842,-0.3900185023602926,1.4846169549795811,0.1341104451964511
20240608AMG11,10,10,1,5.0,3.0,49.1,2,0,-1.7263909923765497,0.0154886811617853,0.7197629753172057,-0.4351794997602464,1.245244117188421
20240608AMG12,10,11,2,8.0,6.0,49.1,1,1,0.202940646701148,0.4565916908095247,0.8258610797227336,-0.003151608711644,0.7282190812543913
