レース場,レース回,風向,風速,波の高さ,級別,結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア
20,6,1,3.0,3.0,3,1,0.8619806974442059,0.8752652836894522,-0.032592815992938,-0.7410877778621309
20,7,1,3.0,3.0,2,1,0.4477429674768369,0.216039677610592,1.2173622709650158,0.9550045554667362
20,8,1,3.0,3.0,1,1,0.8142088279962886,0.5474171747175949,-0.0517802354658735,-0.8669625376894188
20,9,1,2.0,2.0,1,0,-0.1057894083690425,0.0283727785714311,-0.2655656369530639,0.3285192840807438
20,10,0,2.0,2.0,1,1,-0.5722681797438814,-1.0008409032393997,0.5284209842598069,0.0779191497828768
20,11,0,1.0,1.0,0,1,0.7422313068260938,0.2135443323107318,1.7673350151945324,0.1125332503785721
21,0,0,1.0,1.0,2,1,1.3222614009182387,1.5208012132167696,1.7186651124789551,1.7323912810049378
21,1,1,2.0,2.0,2,0,-0.9768369467001866,-0.8796877224715113,-0.8665533015090289,0.0526511606143309
21,2,1,1.0,1.0,1,0,0.680899007637902,0.6193622375788687,-0.4973229208605106,0.3842305166816825
21,3,1,1.0,1.0,2,0,-0.8334762598987153,-0.9898874611659856,0.5766516180855665,-1.4118759243614298
21,4,1,1.0,1.0,0,1,0.968533167685006,1.3054175774333403,-0.5172188507675642,0.1136859084229287
21,5,1,3.0,3.0,2,0,-0.1123283520865737,-0.2297095073559452,0.7118752587967974,0.4299321587865111
21,6,1,2.0,2.0,1,1,-0.3807371540806727,-0.1873222127893636,-0.3994727222347035,0.0177343072518103
21,7,1,3.0,3.0,0,1,1.3350635540980529,1.0805734265729556,-0.258998691991616,-0.1865866962588243
21,8,1,1.0,1.0,0,0,0.5898545362362421,1.0853167238774724,-0.7826152562251225,0.6148364043155529
21,9,7,0.0,1.0,0,0,0.4379877365384507,0.8285332274179429,0.3994013327288965,0.4471344164333867
21,10,1,2.0,2.0,0,1,1.2078130998826857,0.5219204115924768,0.6363260786313981,1.670719244980278
21,11,1,1.0,1.0,2,1,0.9569462131781558,1.1002897645179914,0.4315209796814794,0.9048032217053622
2,0,1,2.0,2.0,2,1,-0.8179708896216993,-1.654329946880868,1.288234887700251,-0.0391118402285585
2,1,1,3.0,3.0,2,1,0.148956956044415,-0.3760147154394455,0.5743738767049453,0.8208824706113963
2,2,0,2.0,2.0,2,1,-1.4326446974802702,-1.661607064681179,0.0670470649410964,1.38620919875403
2,3,0,1.0,1.0,2,0,-1.1330810525479322,-1.6410094941971107,-1.1494905463242977,-0.2791085866598268
2,4,0,1.0,1.0,1,1,0.6146120471855854,0.1732782448046921,-0.4774572205523646,1.932228015221899
2,5,0,2.0,2.0,2,1,-0.7990004357956902,-0.7141865405747214,0.3416477267570038,-1.9739001364200788
2,6,0,3.0,3.0,2,1,-0.4976218746790098,-0.5975603573060396,-0.2527797176292295,-1.0526193642900623
2,7,0,2.0,2.0,1,1,0.817670686369958,1.1126720032183637,2.028570435633666,-0.1856942054593724
2,8,0,2.0,2.0,0,1,0.9859981563602008,0.970746916325488,-0.583242849113927,0.2986544678057285
2,9,0,3.0,3.0,0,1,1.1433874736877965,1.2183606236243227,0.1544367959062722,-0.063516073475117
2,10,0,3.0,3.0,0,1,1.7674710122520472,1.6789082435039715,0.5675538997766355,-1.057904043894305
2,11,0,3.0,3.0,0,1,1.7183139096787508,1.208496425918148,-0.1933429493932997,-1.6476936031742655
13,0,1,1.0,1.0,0,1,1.8951805411635487,1.397247496088876,-0.8453902424001305,-0.8051022325103778
13,1,1,1.0,1.0,1,0,0.2183132732317847,0.3188683860523744,1.4409416000035926,1.551494864606192
13,2,6,1.0,1.0,1,1,0.6866001567563451,0.8463437350232715,-1.0304143883722183,-0.989781435026633
13,3,0,1.0,1.0,0,1,0.9602278040113332,0.8998026977117917,-0.0099868236192428,0.3715514316926236
13,4,0,2.0,2.0,2,1,0.4750978469455453,0.3407051092672313,-0.2826541547981419,0.6207835682975786
13,5,8,2.0,2.0,2,1,0.6791729116781732,0.5583647431484683,-1.4169068184355549,-0.8366669705775874
13,6,2,3.0,3.0,2,0,-0.2394664375553547,0.1475403765003346,-0.5770378681134485,-0.734818118255018
13,7,2,2.0,2.0,2,1,-0.095056278659783,0.1722333162276589,-0.3926248129786152,-0.0798432399912406
13,8,2,2.0,2.0,0,0,0.6010053063558722,0.7411355248992978,1.2804716363537338,0.7976241590512878
13,9,8,1.0,1.0,0,1,0.9861798373088844,0.9871170094109752,0.0853184625334458,0.1858650448830287
13,10,5,1.0,1.0,0,1,1.8959762233577564,1.8046039557260491,0.0215818833827172,0.4326633966637772
13,11,5,1.0,1.0,0,1,1.484852923767818,1.5560382181147006,0.7460630919206235,-1.5402718373608577
9,0,6,1.0,1.0,1,1,1.4190934907241874,1.2123737110745028,-0.5526256730412774,0.6998715753035225
9,1,6,3.0,3.0,2,0,-0.0957104143412916,0.2351627642583223,-0.911274669445524,-0.1035857488592997
9,2,6,4.0,4.0,2,0,-1.2654702096021864,-1.2520299516190423,0.8324184679688893,-1.4211808470357286
9,3,6,5.0,5.0,2,1,0.1721300431089514,0.195533206046751,-0.3445015224323645,0.2811286543724934
9,4,6,5.0,5.0,2,0,-0.949275379460022,-0.5292266743139918,-1.1307368826707764,0.9695873953519476
9,5,6,6.0,6.0,0,1,1.7287170041007776,1.838877697295116,1.2009998543118696,1.8180168130972316
9,6,6,5.0,5.0,1,1,-0.2282170331690896,0.7046024660330709,-0.680399552695704,-1.551663139565494
