レースコード,1=2=3,1=2=4,1=2=5,1=2=6,1=3=4,1=3=5,1=3=6,1=4=5,1=4=6,1=5=6,2=3=4,2=3=5,2=3=6,2=4=5,2=4=6,2=5=6,3=4=5,3=4=6,3=5=6,4=5=6
20240628TDA08,6.2,39.2,15.9,8.7,30.4,10.0,3.9,132.0,67.9,19.9,40.9,14.2,4.8,128.4,79.2,19.7,75.4,38.6,11.2,81.9
20240628TDA09,8.8,16.6,4.1,65.1,14.3,3.0,39.8,6.4,51.3,13.1,46.3,23.7,126.9,28.2,146.1,63.4,19.3,133.9,45.0,41.5
20240628TDA10,6.3,4.6,8.1,4.0,20.9,34.4,13.3,23.8,12.9,17.9,39.0,76.5,35.0,35.3,15.0,22.7,133.9,83.3,107.1,30.9
20240628TDA11,2.4,7.5,10.6,85.6,6.3,6.9,47.1,14.0,61.3,65.0,18.5,19.3,79.3,35.7,85.6,108.4,26.2,67.7,66.3,50.0
20240628TDA12,6.8,8.2,13.5,36.4,5.6,8.5,35.7,10.6,38.7,47.6,8.7,10.6,50.9,12.9,43.2,65.2,10.6,42.2,63.0,37.2
20240628EDG01,3.1,6.4,32.8,20.0,5.2,21.6,13.6,21.8,15.6,34.3,11.6,38.4,20.3,59.6,26.8,71.5,35.7,25.0,59.6,44.7
20240628EDG02,9.6,24.2,24.3,31.7,17.6,12.3,13.8,20.7,33.1,25.4,12.5,11.1,12.7,12.6,17.8,19.6,11.2,9.5,10.5,14.8
20240628EDG03,2.0,5.9,19.7,31.2,5.3,15.5,17.5,74.1,33.4,115.3,20.1,30.7,41.1,58.4,61.9,115.3,61.0,39.1,106.4,27.3
20240628EDG04,6.4,15.7,8.6,42.4,18.2,17.8,61.6,28.0,64.8,77.0,5.4,5.9,21.0,8.3,26.5,24.0,10.8,26.0,31.3,39.3
20240628EDG05,19.0,20.6,8.8,20.6,29.7,15.2,36.4,15.5,30.3,8.2,36.9,22.9,30.9,12.5,22.2,7.4,19.4,25.9,10.7,5.5
20240628EDG06,3.9,6.6,10.4,欠場,3.1,3.7,欠場,9.1,欠場,欠場,28.2,23.6,欠場,41.1,欠場,欠場,25.3,欠場,欠場,欠場
20240628EDG07,3.5,4.8,7.1,20.8,12.7,16.3,46.6,22.3,32.7,47.2,10.4,12.9,32.4,15.6,28.5,49.1,33.6,53.3,98.2,63.3
20240628EDG08,15.6,6.4,27.9,38.3,15.9,38.7,53.7,13.9,16.2,53.7,5.1,23.4,38.3,6.0,8.5,54.6,15.4,18.4,68.0,10.5
20240628EDG09,5.1,8.2,4.2,34.0,9.5,4.7,33.7,9.0,29.4,20.3,38.8,26.0,83.7,45.3,65.0,65.9,26.5,128.0,50.6,55.1
20240628EDG10,8.1,5.2,21.3,12.0,3.7,22.8,14.2,13.8,5.0,34.4,30.5,69.6,103.3,48.5,27.8,78.1,65.4,31.1,123.2,32.0
20240628EDG11,5.5,5.0,5.6,6.2,20.9,23.6,28.0,16.8,19.2,17.0,30.5,31.6,31.9,20.9,21.2,15.4,87.3,50.9,135.9,36.7
20240628EDG12,2.4,5.3,6.7,22.2,9.9,9.1,32.7,15.1,28.9,38.9,34.4,28.7,79.6,39.1,59.9,65.5,72.7,137.8,119.9,101.5
